[[-384.1931405082288], [283.1066878328041], [110.38236397725643]]
[[-384.820677266245], [282.85001077100594], [109.38787032519099]]
[[-384.8169949196239], [282.3026765451765], [109.38784600778149]]
[[-385.44585479680325], [282.04487493244045], [108.39124930399714]]
[[-385.44216161427323], [281.4969740127169], [108.39123606098974]]
[[-385.43846851400866], [280.9490852974733], [108.3912228182777]]
[[-385.43477549600675], [280.4012087863018], [108.39120957586044]]
[[-385.4310825602651], [279.8533444787947], [108.39119633373832]]
[[-385.4273897067806], [279.30549237454426], [108.3911830919111]]
[[-385.42369693555065], [278.75765247314257], [108.39116985037879]]
[[-385.4200042465727], [278.20982477418215], [108.39115660914138]]
[[-385.4163116398436], [277.6620092772553], [108.39114336819887]]
[[-385.412619115361], [277.11420598195434], [108.39113012755149]]
[[-385.4089266731218], [276.5664148878714], [108.39111688719879]]
[[-385.4052343131236], [276.0186359945993], [108.39110364714111]]
[[-385.40154203536326], [275.4708693017298], [108.39109040737833]]
[[-385.39784983983844], [274.9231148088559], [108.39107716791045]]
[[-385.394157726546], [274.37537251556984], [108.39106392873737]]
[[-385.39046569548356], [273.82764242146396], [108.39105068985907]]
[[-385.3867737466482], [273.2799245261306], [108.39103745127568]]
[[-385.383081880037], [272.73221882916255], [108.3910242129873]]
[[-385.3793900956474], [272.1845253301519], [108.3910109749936]]
[[-385.3756983934769], [271.63684402869177], [108.39099773729458]]
[[-385.37200677352234], [271.0891749243741], [108.39098449989058]]
[[-385.3683152357811], [270.5415180167918], [108.39097126278136]]
[[-385.36462378025044], [269.99387330553736], [108.39095802596694]]
[[-385.36093240692776], [269.44624079020315], [108.39094478944719]]
[[-385.3572411158101], [268.8986204703821], [108.39093155322212]]
[[-385.35354990689484], [268.35101234566656], [108.39091831729206]]
[[-385.3498587801792], [267.8034164156493], [108.39090508165668]]
[[-385.3461677356604], [267.2558326799231], [108.39089184631598]]
[[-385.3424767733358], [266.7082611380804], [108.39087861126995]]
[[-385.33878589320244], [266.16070178971387], [108.39086537651895]]
[[-385.33509509525777], [265.6131546344165], [108.39085214206239]]
[[-385.9649646942978], [265.33741271151627], [107.39246813556804]]
[[-385.9612630324864], [264.7892984272561], [107.39246601505295]]
