[[-431.2900549057767], [324.04636081750687], [7.123547957228425]]
[[-432.6244809455194], [323.9963650367071], [5.169389118666004]]
[[-433.2934308892216], [323.66509100987224], [4.189766115135853]]
[[-433.96354280488055], [323.3332415571289], [3.2084414978016866]]
[[-433.96354280488055], [322.7202875445754], [3.2084414978016866]]
[[-433.96354280488055], [322.1073335320219], [3.2084414978016866]]
[[-433.96354280488055], [321.4943795194685], [3.2084414978016866]]
[[-433.96354280488055], [320.88142550691504], [3.2084414978016866]]
[[-433.96354280488055], [320.2684714943617], [3.2084414978016866]]
[[-433.96354280488055], [319.6555174818082], [3.2084414978016866]]
[[-433.96354280488055], [319.0425634692548], [3.2084414978016866]]
[[-433.96354280488055], [318.4296094567014], [3.2084414978016866]]
[[-433.96354280488055], [317.81665544414807], [3.2084414978016866]]
[[-433.96354280488055], [317.20370143159454], [3.2084414978016866]]
[[-433.96354280488055], [316.590747419041], [3.2084414978016866]]
[[-433.96354280488055], [315.9777934064878], [3.2084414978016866]]
[[-433.96354280488055], [315.3648393939343], [3.2084414978016866]]
[[-433.96354280488055], [314.7518853813809], [3.2084414978016866]]
[[-433.96354280488055], [314.1389313688274], [3.2084414978016866]]
[[-433.96354280488055], [313.525977356274], [3.2084414978016866]]
[[-433.96354280488055], [312.9130233437205], [3.2084414978016866]]
[[-433.96354280488055], [312.3000693311672], [3.2084414978016866]]
[[-433.96354280488055], [311.68711531861373], [3.2084414978016866]]
[[-433.96354280488055], [311.0741613060602], [3.2084414978016866]]
[[-433.96354280488055], [310.4612072935069], [3.2084414978016866]]
[[-433.96354280488055], [309.84825328095343], [3.2084414978016866]]
[[-433.96354280488055], [309.23529926839996], [3.2084414978016866]]
[[-433.96354280488055], [308.6223452558465], [3.2084414978016866]]
[[-433.96354280488055], [308.0093912432931], [3.2084414978016866]]
[[-433.96354280488055], [307.3964372307397], [3.2084414978016866]]
[[-433.96354280488055], [306.78348321818635], [3.2084414978016866]]
[[-433.96354280488055], [306.1705292056329], [3.2084414978016866]]
[[-433.96354280488055], [305.55757519307946], [3.2084414978016866]]
[[-433.96354280488055], [304.944621180526], [3.2084414978016866]]
[[-433.96354280488055], [304.3316671679725], [3.2084414978016866]]
[[-433.96354280488055], [303.71871315541915], [3.2084414978016866]]
[[-433.96354280488055], [303.1057591428656], [3.2084414978016866]]
[[-433.96354280488055], [302.4928051303122], [3.2084414978016866]]
